"STD_YM","CTPV_CD","KDML_SP_CD","INDTY_CGR_NM","CTPV_NM","AVG_US_COUT"
"201907","11","1","동남아","서울특별시","216"
"201907","11","1","분식","서울특별시","485"
"201907","11","1","양식","서울특별시","198"
"201907","11","1","일식","서울특별시","565"
"201907","11","1","중식","서울특별시","558"
"201907","11","1","카페/패스트푸드","서울특별시","1619"
"201907","11","1","편의점","서울특별시","687"
"201907","11","1","한식","서울특별시","3697"
"201907","26","1","동남아","부산광역시","161"
"201907","26","1","분식","부산광역시","191"
"201907","26","1","양식","부산광역시","22"
"201907","26","1","일식","부산광역시","104"
"201907","26","1","중식","부산광역시","135"
"201907","26","1","카페/패스트푸드","부산광역시","969"
"201907","26","1","편의점","부산광역시","71"
"201907","26","1","한식","부산광역시","591"
"201907","27","1","일식","대구광역시","137"
"201907","27","1","중식","대구광역시","280"
"201907","27","1","카페/패스트푸드","대구광역시","297"
"201907","27","1","편의점","대구광역시","654"
"201907","27","1","한식","대구광역시","3162"
"201907","28","1","동남아","인천광역시","192"
"201907","28","1","분식","인천광역시","167"
"201907","28","1","양식","인천광역시","582"
"201907","28","1","일식","인천광역시","97"
"201907","28","1","중식","인천광역시","199"
"201907","28","1","카페/패스트푸드","인천광역시","1362"
"201907","28","1","편의점","인천광역시","195"
"201907","28","1","한식","인천광역시","2919"
"201907","29","1","분식","광주광역시","619"
"201907","29","1","일식","광주광역시","65"
"201907","29","1","카페/패스트푸드","광주광역시","502"
"201907","29","1","편의점","광주광역시","68"
"201907","29","1","한식","광주광역시","1521"
"201907","30","1","분식","대전광역시","289"
"201907","30","1","양식","대전광역시","98"
"201907","30","1","중식","대전광역시","221"
"201907","30","1","카페/패스트푸드","대전광역시","788"
"201907","30","1","편의점","대전광역시","409"
"201907","30","1","한식","대전광역시","1772"
"201907","41","1","동남아","경기도","396"
"201907","41","1","분식","경기도","239"
"201907","41","1","양식","경기도","464"
"201907","41","1","일식","경기도","589"
"201907","41","1","중식","경기도","659"
"201907","41","1","카페/패스트푸드","경기도","740"
"201907","41","1","편의점","경기도","695"
"201907","41","1","한식","경기도","4102"
"201907","42","1","양식","강원도","24"
"201907","42","1","일식","강원도","2"
"201907","42","1","한식","강원도","263"
"201907","44","1","분식","충청남도","31"
"201907","44","1","양식","충청남도","4"
"201907","44","1","일식","충청남도","1"
"201907","44","1","중식","충청남도","135"
"201907","44","1","카페/패스트푸드","충청남도","55"
"201907","44","1","편의점","충청남도","226"
"201907","44","1","한식","충청남도","2006"
"201907","46","1","한식","전라남도","21"
"201907","48","1","한식","경상남도","133"
"201907","50","1","일식","제주특별자치도","1647"
"201907","50","1","카페/패스트푸드","제주특별자치도","2625"
"201907","50","1","편의점","제주특별자치도","2831"
"201907","50","1","한식","제주특별자치도","5796"
"201908","11","1","동남아","서울특별시","178"
"201908","11","1","분식","서울특별시","416"
"201908","11","1","양식","서울특별시","174"
"201908","11","1","일식","서울특별시","542"
"201908","11","1","중식","서울특별시","529"
"201908","11","1","카페/패스트푸드","서울특별시","1486"
"201908","11","1","편의점","서울특별시","673"
"201908","11","1","한식","서울특별시","3432"
"201908","26","1","동남아","부산광역시","75"
"201908","26","1","분식","부산광역시","124"
"201908","26","1","양식","부산광역시","12"
"201908","26","1","일식","부산광역시","106"
"201908","26","1","중식","부산광역시","108"
"201908","26","1","카페/패스트푸드","부산광역시","636"
"201908","26","1","편의점","부산광역시","66"
"201908","26","1","한식","부산광역시","348"
"201908","27","1","일식","대구광역시","131"
"201908","27","1","중식","대구광역시","277"
"201908","27","1","카페/패스트푸드","대구광역시","324"
"201908","27","1","편의점","대구광역시","591"
"201908","27","1","한식","대구광역시","2971"
"201908","28","1","동남아","인천광역시","155"
"201908","28","1","분식","인천광역시","144"
"201908","28","1","양식","인천광역시","538"
"201908","28","1","일식","인천광역시","135"
"201908","28","1","중식","인천광역시","183"
"201908","28","1","카페/패스트푸드","인천광역시","694"
"201908","28","1","편의점","인천광역시","198"
"201908","28","1","한식","인천광역시","2817"
"201908","29","1","분식","광주광역시","697"
"201908","29","1","일식","광주광역시","41"
"201908","29","1","카페/패스트푸드","광주광역시","433"
"201908","29","1","편의점","광주광역시","84"
"201908","29","1","한식","광주광역시","1450"
"201908","30","1","분식","대전광역시","318"
"201908","30","1","양식","대전광역시","78"
"201908","30","1","중식","대전광역시","209"
"201908","30","1","카페/패스트푸드","대전광역시","746"
"201908","30","1","편의점","대전광역시","411"
"201908","30","1","한식","대전광역시","1610"
"201908","41","1","동남아","경기도","354"
"201908","41","1","분식","경기도","230"
"201908","41","1","양식","경기도","411"
"201908","41","1","일식","경기도","520"
"201908","41","1","중식","경기도","639"
"201908","41","1","카페/패스트푸드","경기도","636"
"201908","41","1","편의점","경기도","604"
"201908","41","1","한식","경기도","3692"
"201908","42","1","분식","강원도","2"
"201908","42","1","일식","강원도","9"
"201908","42","1","중식","강원도","17"
"201908","42","1","한식","강원도","191"
"201908","44","1","분식","충청남도","46"
"201908","44","1","양식","충청남도","21"
"201908","44","1","일식","충청남도","2"
"201908","44","1","중식","충청남도","120"
"201908","44","1","카페/패스트푸드","충청남도","101"
"201908","44","1","편의점","충청남도","240"
"201908","44","1","한식","충청남도","1731"
"201908","45","1","한식","전라북도","1"
"201908","46","1","한식","전라남도","1"
"201908","48","1","한식","경상남도","156"
"201908","50","1","일식","제주특별자치도","1352"
"201908","50","1","카페/패스트푸드","제주특별자치도","2577"
"201908","50","1","편의점","제주특별자치도","2894"
"201908","50","1","한식","제주특별자치도","5858"
"201909","11","1","동남아","서울특별시","163"
"201909","11","1","분식","서울특별시","375"
"201909","11","1","양식","서울특별시","175"
"201909","11","1","일식","서울특별시","498"
"201909","11","1","중식","서울특별시","498"
"201909","11","1","카페/패스트푸드","서울특별시","1433"
"201909","11","1","편의점","서울특별시","618"
"201909","11","1","한식","서울특별시","3332"
"201909","26","1","동남아","부산광역시","108"
"201909","26","1","분식","부산광역시","141"
"201909","26","1","양식","부산광역시","41"
"201909","26","1","일식","부산광역시","89"
"201909","26","1","중식","부산광역시","115"
"201909","26","1","카페/패스트푸드","부산광역시","666"
"201909","26","1","편의점","부산광역시","51"
"201909","26","1","한식","부산광역시","314"
"201909","27","1","양식","대구광역시","32"
"201909","27","1","일식","대구광역시","123"
"201909","27","1","중식","대구광역시","243"
"201909","27","1","카페/패스트푸드","대구광역시","251"
"201909","27","1","편의점","대구광역시","537"
"201909","27","1","한식","대구광역시","2465"
"201909","28","1","동남아","인천광역시","129"
"201909","28","1","분식","인천광역시","116"
"201909","28","1","양식","인천광역시","493"
"201909","28","1","일식","인천광역시","97"
"201909","28","1","중식","인천광역시","133"
"201909","28","1","카페/패스트푸드","인천광역시","610"
"201909","28","1","편의점","인천광역시","187"
"201909","28","1","한식","인천광역시","2717"
"201909","29","1","분식","광주광역시","625"
"201909","29","1","일식","광주광역시","59"
"201909","29","1","카페/패스트푸드","광주광역시","475"
"201909","29","1","편의점","광주광역시","83"
"201909","29","1","한식","광주광역시","1186"
"201909","30","1","분식","대전광역시","263"
"201909","30","1","양식","대전광역시","83"
"201909","30","1","중식","대전광역시","153"
"201909","30","1","카페/패스트푸드","대전광역시","767"
"201909","30","1","편의점","대전광역시","365"
"201909","30","1","한식","대전광역시","1412"
"201909","41","1","동남아","경기도","424"
"201909","41","1","분식","경기도","251"
"201909","41","1","양식","경기도","359"
"201909","41","1","일식","경기도","568"
"201909","41","1","중식","경기도","555"
"201909","41","1","카페/패스트푸드","경기도","633"
"201909","41","1","편의점","경기도","564"
"201909","41","1","한식","경기도","3618"
"201909","42","1","양식","강원도","10"
"201909","42","1","일식","강원도","13"
"201909","42","1","한식","강원도","253"
"201909","43","1","한식","충청북도","3"
"201909","44","1","분식","충청남도","53"
"201909","44","1","양식","충청남도","6"
"201909","44","1","중식","충청남도","77"
"201909","44","1","카페/패스트푸드","충청남도","111"
"201909","44","1","편의점","충청남도","209"
"201909","44","1","한식","충청남도","1453"
"201909","45","1","한식","전라북도","1"
"201909","46","1","한식","전라남도","1"
"201909","48","1","한식","경상남도","115"
"201909","50","1","일식","제주특별자치도","160"
