STD_YM,CTPV_CD,CTGG_CD,DAY_CD,INDTY_CGR_NM,CTPV_NM,CTGG_NM,RANK,VST_RAT
201907,11,11110,1,분식,서울특별시,종로구,4,8.41
201907,11,11110,1,중식,서울특별시,종로구,3,8.67
201907,11,11110,1,카페/패스트푸드,서울특별시,종로구,2,29.02
201907,11,11110,1,편의점,서울특별시,종로구,5,7.31
201907,11,11110,1,한식,서울특별시,종로구,1,38.62
201907,11,11110,2,분식,서울특별시,종로구,3,8.8
201907,11,11110,2,중식,서울특별시,종로구,5,7.58
201907,11,11110,2,카페/패스트푸드,서울특별시,종로구,2,29.96
201907,11,11110,2,편의점,서울특별시,종로구,4,8.33
201907,11,11110,2,한식,서울특별시,종로구,1,36.74
201907,11,11110,3,분식,서울특별시,종로구,3,10.34
201907,11,11110,3,중식,서울특별시,종로구,5,7.28
201907,11,11110,3,카페/패스트푸드,서울특별시,종로구,2,29.3
201907,11,11110,3,편의점,서울특별시,종로구,4,9.75
201907,11,11110,3,한식,서울특별시,종로구,1,35.08
201907,11,11110,4,분식,서울특별시,종로구,3,8.66
201907,11,11110,4,중식,서울특별시,종로구,5,7.25
201907,11,11110,4,카페/패스트푸드,서울특별시,종로구,2,31.18
201907,11,11110,4,편의점,서울특별시,종로구,4,8.45
201907,11,11110,4,한식,서울특별시,종로구,1,35.62
201907,11,11110,5,분식,서울특별시,종로구,3,9.06
201907,11,11110,5,중식,서울특별시,종로구,5,7.33
201907,11,11110,5,카페/패스트푸드,서울특별시,종로구,2,31.5
201907,11,11110,5,편의점,서울특별시,종로구,4,8.68
201907,11,11110,5,한식,서울특별시,종로구,1,34.97
201907,11,11110,6,분식,서울특별시,종로구,2,17.03
201907,11,11110,6,중식,서울특별시,종로구,3,13.1
201907,11,11110,6,카페/패스트푸드,서울특별시,종로구,4,12.66
201907,11,11110,6,편의점,서울특별시,종로구,5,12.66
201907,11,11110,6,한식,서울특별시,종로구,1,39.74
201907,11,11110,7,분식,서울특별시,종로구,1,25
201907,11,11110,7,양식,서울특별시,종로구,5,9.72
201907,11,11110,7,중식,서울특별시,종로구,2,23.61
201907,11,11110,7,카페/패스트푸드,서울특별시,종로구,4,11.11
201907,11,11110,7,한식,서울특별시,종로구,3,22.22
201907,11,11140,1,분식,서울특별시,중구,5,5.12
201907,11,11140,1,일식,서울특별시,중구,4,6.98
201907,11,11140,1,카페/패스트푸드,서울특별시,중구,2,29.68
201907,11,11140,1,편의점,서울특별시,중구,3,17.57
201907,11,11140,1,한식,서울특별시,중구,1,36.06
201907,11,11140,2,분식,서울특별시,중구,4,5.79
201907,11,11140,2,일식,서울특별시,중구,5,5.73
201907,11,11140,2,카페/패스트푸드,서울특별시,중구,2,30.78
201907,11,11140,2,편의점,서울특별시,중구,3,19.66
201907,11,11140,2,한식,서울특별시,중구,1,31.93
201907,11,11140,3,분식,서울특별시,중구,5,5.96
201907,11,11140,3,일식,서울특별시,중구,4,6.07
201907,11,11140,3,카페/패스트푸드,서울특별시,중구,2,30.57
201907,11,11140,3,편의점,서울특별시,중구,3,19.51
201907,11,11140,3,한식,서울특별시,중구,1,31.88
201907,11,11140,4,분식,서울특별시,중구,5,5.51
201907,11,11140,4,일식,서울특별시,중구,4,5.54
201907,11,11140,4,카페/패스트푸드,서울특별시,중구,1,31.72
201907,11,11140,4,편의점,서울특별시,중구,3,20.18
201907,11,11140,4,한식,서울특별시,중구,2,31.04
201907,11,11140,5,분식,서울특별시,중구,4,7.08
201907,11,11140,5,중식,서울특별시,중구,5,4.27
201907,11,11140,5,카페/패스트푸드,서울특별시,중구,1,31.63
201907,11,11140,5,편의점,서울특별시,중구,3,20.5
201907,11,11140,5,한식,서울특별시,중구,2,31.35
201907,11,11140,6,분식,서울특별시,중구,3,14.63
201907,11,11140,6,중식,서울특별시,중구,5,12.2
201907,11,11140,6,카페/패스트푸드,서울특별시,중구,1,36.59
201907,11,11140,6,편의점,서울특별시,중구,2,15.85
201907,11,11140,6,한식,서울특별시,중구,4,14.63
201907,11,11140,7,분식,서울특별시,중구,4,4.44
201907,11,11140,7,일식,서울특별시,중구,5,4.44
201907,11,11140,7,중식,서울특별시,중구,3,16.67
201907,11,11140,7,카페/패스트푸드,서울특별시,중구,2,27.78
201907,11,11140,7,한식,서울특별시,중구,1,44.44
201907,11,11170,1,분식,서울특별시,용산구,4,3.02
201907,11,11170,1,중식,서울특별시,용산구,3,4.02
201907,11,11170,1,카페/패스트푸드,서울특별시,용산구,2,26.26
201907,11,11170,1,편의점,서울특별시,용산구,5,1.91
201907,11,11170,1,한식,서울특별시,용산구,1,63.38
201907,11,11170,2,분식,서울특별시,용산구,4,2.94
201907,11,11170,2,중식,서울특별시,용산구,3,4.81
201907,11,11170,2,카페/패스트푸드,서울특별시,용산구,2,27.81
201907,11,11170,2,편의점,서울특별시,용산구,5,2.05
201907,11,11170,2,한식,서울특별시,용산구,1,61.41
201907,11,11170,3,분식,서울특별시,용산구,3,5.17
201907,11,11170,3,일식,서울특별시,용산구,5,1.76
201907,11,11170,3,중식,서울특별시,용산구,4,3
201907,11,11170,3,카페/패스트푸드,서울특별시,용산구,2,24.79
201907,11,11170,3,한식,서울특별시,용산구,1,63.02
201907,11,11170,4,분식,서울특별시,용산구,3,5.04
201907,11,11170,4,중식,서울특별시,용산구,4,2.85
201907,11,11170,4,카페/패스트푸드,서울특별시,용산구,2,25.74
201907,11,11170,4,편의점,서울특별시,용산구,5,1.1
201907,11,11170,4,한식,서울특별시,용산구,1,64.73
201907,11,11170,5,분식,서울특별시,용산구,3,3.53
201907,11,11170,5,중식,서울특별시,용산구,4,2.96
201907,11,11170,5,카페/패스트푸드,서울특별시,용산구,2,35.19
201907,11,11170,5,편의점,서울특별시,용산구,5,1.94
201907,11,11170,5,한식,서울특별시,용산구,1,56.15
201907,11,11170,6,분식,서울특별시,용산구,3,10.2
201907,11,11170,6,중식,서울특별시,용산구,4,2.04
201907,11,11170,6,카페/패스트푸드,서울특별시,용산구,2,13.27
201907,11,11170,6,편의점,서울특별시,용산구,5,1.02
201907,11,11170,6,한식,서울특별시,용산구,1,73.47
201907,11,11170,7,분식,서울특별시,용산구,3,10.17
201907,11,11170,7,일식,서울특별시,용산구,4,3.39
201907,11,11170,7,중식,서울특별시,용산구,5,1.69
201907,11,11170,7,카페/패스트푸드,서울특별시,용산구,2,30.51
201907,11,11170,7,한식,서울특별시,용산구,1,52.54
201907,11,11200,1,카페/패스트푸드,서울특별시,성동구,1,100
201907,11,11200,2,카페/패스트푸드,서울특별시,성동구,1,100
201907,11,11200,3,카페/패스트푸드,서울특별시,성동구,1,100
201907,11,11200,4,카페/패스트푸드,서울특별시,성동구,1,100
201907,11,11200,5,카페/패스트푸드,서울특별시,성동구,1,100
201907,11,11215,4,한식,서울특별시,광진구,1,100
201907,11,11440,1,분식,서울특별시,마포구,3,5.2
201907,11,11440,1,양식,서울특별시,마포구,5,2.63
201907,11,11440,1,중식,서울특별시,마포구,4,3.86
201907,11,11440,1,카페/패스트푸드,서울특별시,마포구,1,55.13
